dam,reach,year,breached,breach_date,dist_lake,damX,damY,backwaterX,backwaterY,backwaterlngth,p_pass
2016-3,Elk Lake Road to Battle Creek,2016,No ,NA,5759,446829,4940736,446926,4940834,202.7,0.796
2016-4,Elk Lake Road to Battle Creek,2016,No ,NA,5962,446927,4940834,447055,4940818,256.1,0.796
2016-5,Elk Lake Road to Battle Creek,2016,No ,NA,6217,447057,4940825,447083,4940808,36.8,0.796
2016-6,Elk Lake Road to Battle Creek,2016,No ,NA,6323,447103,4940779,447045,4940692,107.3,0.796
2016-7,Elk Lake Road to Battle Creek,2016,No ,NA,6431,447049,4940692,447275,4940417,431.9,0.796
2016-8,Elk Lake Road to Battle Creek,2016,No ,NA,7537,447421,4940593,447465,4940473,231,0.796
2016-9,Elk Lake Road to Battle Creek,2016,No ,NA,8251,447723,4940517,447893,4940518,321,0.796
2016-10,Antelope Creek to Elk Lake Road,2016,No ,NA,10769,448713,4940757,448728,4940811,107,0.796
2016-11,Antelope Creek to Elk Lake Road,2016,No ,NA,12841,449486,4940531,449539,4940517,82.9,0.796
2016-12,Antelope Creek to Elk Lake Road,2016,No ,NA,12919,449541,4940518,449622,4940480,156.9,0.796
2016-13,Antelope Creek to Elk Lake Road,2016,No ,NA,13077,449619,4940483,449773,4940529,266.7,0.796
2016-14,Antelope Creek to Elk Lake Road,2016,No ,NA,13342,449772,4940526,449819,4940522,47,0.796
2016-15,Antelope Creek to Elk Lake Road,2016,No ,NA,13391,449820,4940515,449993,4940456,409,0.796
2016-16,Antelope Creek to Elk Lake Road,2016,No ,NA,15960,450937,4940234,450959,4940222,26,0.796
2016-17,Antelope Creek to Elk Lake Road,2016,No ,NA,15985,450955,4940217,451028,4940185,95.3,0.796
2016-18,Antelope Creek to Elk Lake Road,2016,No ,NA,16076,451019,4940172,451100,4940158,190.2,0.796
2016-19,Corral Creek to Antelope Creek,2016,No ,NA,16250,451097,4940153,451165,4940033,194,0.796
2016-20,Huntsman to Corral Creek,2016,No ,NA,18888,451932,4940925,452119,4941128,552,0.796
2016-21,Huntsman to Corral Creek,2016,No ,NA,19444,452119,4941128,452607,4940823,967,0.796
2016-22,Huntsman to Corral Creek,2016,No ,NA,20665,452684,4940843,453048,4940881,588,0.796
2016-23,Huntsman to Corral Creek,2016,No ,NA,23214,453791,4941012,453827,4940907,372,0.796
2016-24,Huntsman to Corral Creek,2016,No ,NA,23587,453827,4940907,454002,4940572,578,0.796
2017-1,NA,2017,Yes,4/24/2017,26147,454813,4940424,NA,NA,0,1
2017-2,NA,2017,Yes,4/24/2017,25469,454511,4940268,NA,NA,0,1
2017-3,NA,2017,Yes,4/24/2017,23589,453831,4940898,NA,NA,0,1
2017-4,NA,2017,Yes,4/24/2017,23213,453787,4941005,NA,NA,0,1
2017-5,NA,2017,Yes,4/24/2017,22939,453668,4940995,NA,NA,0,1
2017-6,NA,2017,Yes,4/24/2017,20948,452876,4940838,NA,NA,0,1
2017-7,NA,2017,Yes,4/24/2017,20769,452795,4940865,NA,NA,0,1
2017-8,NA,2017,Yes,4/24/2017,20675,452681,4940853,NA,NA,0,1
2017-9,NA,2017,Yes,4/24/2017,20170,452462,4940850,NA,NA,0,1
2017-10,NA,2017,Yes,4/24/2017,20010,452369,4940969,NA,NA,0,1
2017-11,NA,2017,Yes,4/24/2017,19796,452245,4940978,NA,NA,0,1
2017-12,NA,2017,Yes,4/24/2017,19796,452245,4940978,NA,NA,0,1
2017-13,NA,2017,Yes,4/24/2017,19444,452119,4941128,NA,NA,0,1
2017-14,NA,2017,Yes,4/24/2017,18892,451926,4940921,NA,NA,0,1
2017-15,NA,2017,Yes,4/24/2017,18585,451914,4940775,NA,NA,0,1
2017-16,NA,2017,Yes,4/24/2017,18302,451759,4940780,NA,NA,0,1
2017-17.1,NA,2017,Yes,4/24/2017,18276,451733,4940791,NA,NA,0,1
2017-18,NA,2017,Yes,4/24/2017,17102,451584,4940281,NA,NA,0,1
2017-17,NA,2017,Yes,4/24/2017,17716,451503,4940505,NA,NA,0,1
2017-19,NA,2017,Yes,4/24/2017,16223,451094,4940139,NA,NA,0,1
2017-20,NA,2017,Yes,4/24/2017,16223,451094,4940139,NA,NA,0,1
2017-21,NA,2017,Yes,4/24/2017,16124,450993,4940149,NA,NA,0,1
2017-22,NA,2017,Yes,4/24/2017,15931,450908,4940243,NA,NA,0,1
2017-23,NA,2017,Yes,4/24/2017,15931,450908,4940243,NA,NA,0,1
2017-24,NA,2017,Yes,4/24/2017,13649,449886,4940426,NA,NA,0,1
2017-25,NA,2017,Yes,4/24/2017,13403,449834,4940517,NA,NA,0,1
2017-26,NA,2017,Yes,4/24/2017,13375,449805,4940519,NA,NA,0,1
2017-27,NA,2017,Yes,4/24/2017,13345,449775,4940525,NA,NA,0,1
2017-28,NA,2017,Yes,4/24/2017,12929,449583,4940511,NA,NA,0,1
2017-29,NA,2017,Yes,4/24/2017,12923,449563,4940518,NA,NA,0,1
2017-30,NA,2017,Yes,4/24/2017,12837,449484,4940527,NA,NA,0,1
2017-31,NA,2017,Yes,4/24/2017,12837,449484,4940527,NA,NA,0,1
2017-32,NA,2017,Yes,4/24/2017,11763,449080,4940693,NA,NA,0,1
2017-33,NA,2017,Yes,4/24/2017,10754,448716,4940745,NA,NA,0,1
2017-34,NA,2017,Yes,4/24/2017,8706,447886,4940612,NA,NA,0,1
2017-35,NA,2017,Yes,4/24/2017,8570,447892,4940506,NA,NA,0,1
2017-37.5,NA,2017,Yes,4/24/2017,8570,447892,4940506,NA,NA,0,1
2017-37,NA,2017,Yes,4/24/2017,8401,447765,4940521,NA,NA,0,1
2017-38,NA,2017,Yes,4/24/2017,8248,447717,4940515,NA,NA,0,1
2017-39,NA,2017,Yes,4/24/2017,7513,447410,4940574,NA,NA,0,1
2017-42,NA,2017,Yes,4/24/2017,6326,447094,4940777,NA,NA,0,1
2017-43,NA,2017,Yes,4/24/2017,6260,447083,4940819,NA,NA,0,1
2017-44.1,NA,2017,Yes,4/24/2017,6211,447056,4940831,NA,NA,0,1
2017-41,NA,2017,Yes,4/24/2017,6367,447066,4940750,NA,NA,0,1
2017-40,NA,2017,Yes,4/24/2017,6458,447024,4940654,NA,NA,0,1
2017-44,NA,2017,Yes,4/24/2017,5943,446909,4940837,NA,NA,0,1
2017-45,NA,2017,Yes,4/24/2017,5471,446795,4940825,NA,NA,0,1
2017-46,NA,2017,Yes,4/24/2017,5167,446638,4940845,NA,NA,0,1
2017-47,NA,2017,Yes,4/24/2017,4956,446558,4940925,NA,NA,0,1
2017-49,NA,2017,Yes,4/24/2017,1608,445506,4940320,NA,NA,0,1
2017-50,NA,2017,Yes,4/24/2017,686,444938,4940041,NA,NA,0,1
2017-51,Downstream of Battle Creek,2017,Yes,4/24/2017,519,444878,4940103,NA,NA,0,1
2018-1,Downstream of Battle Creek,2018,Yes,4/27/2018,515,444896,4940104,NA,NA,0,1
2018-2,NA,2018,Yes,4/27/2018,669,444935,4940044,NA,NA,0,1
2018-3,NA,2018,Yes,4/27/2018,1149,445239,4940132,NA,NA,0,1
2018-4,NA,2018,Yes,4/27/2018,1537,445472,4940302,NA,NA,0,1
2018-5,NA,2018,Yes,4/27/2018,1592,445505,4940328,NA,NA,0,1
2018-6,NA,2018,Yes,4/27/2018,4942,446557,4940912,NA,NA,0,1
2018-7,NA,2018,Yes,4/27/2018,5150,446637,4940847,NA,NA,0,1
2018-8,NA,2018,Yes,4/27/2018,5456,446795,4940825,NA,NA,0,1
2018-9,NA,2018,Yes,4/27/2018,5736,446831,4940743,NA,NA,0,1
2018-10,NA,2018,Yes,4/27/2018,5935,446919,4940833,NA,NA,0,1
2018-11,NA,2018,Yes,4/27/2018,6191,447053,4940825,NA,NA,0,1
2018-12,NA,2018,Yes,4/27/2018,6219,447071,4940810,NA,NA,0,1
2018-13,NA,2018,Yes,4/27/2018,6228,447078,4940810,NA,NA,0,1
2018-14,NA,2018,Yes,4/27/2018,6309,447100,4940779,NA,NA,0,1
2018-15,NA,2018,Yes,4/27/2018,6350,447074,4940748,NA,NA,0,1
2018-16,NA,2018,Yes,4/27/2018,6416,447047,4940691,NA,NA,0,1
2018-17,NA,2018,Yes,4/27/2018,7496,447410,4940574,NA,NA,0,1
2018-18,NA,2018,Yes,4/27/2018,8230,447717,4940515,NA,NA,0,1
2018-19,NA,2018,Yes,4/27/2018,8380,447767,4940535,NA,NA,0,1
2018-20,NA,2018,Yes,4/27/2018,8476,447832,4940544,NA,NA,0,1
2018-21,NA,2018,Yes,4/27/2018,8526,447864,4940515,NA,NA,0,1
2018-22,NA,2018,Yes,4/27/2018,9222,448161,4940668,NA,NA,0,1
2018-23,NA,2018,Yes,4/27/2018,10392,448658,4940604,NA,NA,0,1
2018-24,NA,2018,Yes,4/27/2018,10741,448721,4940747,NA,NA,0,1
2018-25,NA,2018,Yes,4/27/2018,12826,449487,4940529,NA,NA,0,1
2018-26,NA,2018,Yes,4/27/2018,12892,449543,4940531,NA,NA,0,1
2018-27,NA,2018,Yes,4/27/2018,13032,449612,4940456,NA,NA,0,1
2018-28,NA,2018,Yes,4/27/2018,13047,449611,4940466,NA,NA,0,1
2018-29,NA,2018,Yes,4/27/2018,13089,449648,4940489,NA,NA,0,1
2018-30,NA,2018,Yes,4/27/2018,13229,449714,4940479,NA,NA,0,1
2018-31,NA,2018,Yes,4/27/2018,13319,449771,4940524,NA,NA,0,1
2018-32,NA,2018,Yes,4/27/2018,13348,449799,4940526,NA,NA,0,1
2018-33,NA,2018,Yes,4/27/2018,13354,449802,4940524,NA,NA,0,1
2018-34,NA,2018,Yes,4/27/2018,13617,449890,4940447,NA,NA,0,1
2018-35,NA,2018,Yes,4/27/2018,14322,450221,4940318,NA,NA,0,1
2018-36,NA,2018,Yes,4/27/2018,15636,450812,4940380,NA,NA,0,1
2018-37,NA,2018,Yes,4/27/2018,15910,450911,4940248,NA,NA,0,1
2018-38,NA,2018,Yes,4/27/2018,15960,450952,4940224,NA,NA,0,1
2018-39,NA,2018,Yes,4/27/2018,16024,450993,4940176,NA,NA,0,1
2018-40,NA,2018,Yes,4/27/2018,16280,451101,4940137,NA,NA,0,1
2018-41,NA,2018,Yes,4/27/2018,17328,451601,4940188,NA,NA,0,1
2018-42,NA,2018,Yes,4/27/2018,17693,451607,4940348,NA,NA,0,1
2018-43,NA,2018,Yes,4/27/2018,19216,451931,4940913,NA,NA,0,1
2018-44,NA,2018,Yes,4/27/2018,19769,452126,4941119,NA,NA,0,1
2018-45,NA,2018,Yes,4/27/2018,21216,452857,4940779,NA,NA,0,1
2018-46,NA,2018,Yes,4/27/2018,22994,453621,4940995,NA,NA,0,1
2018-47,NA,2018,Yes,4/27/2018,24251,453982,4940702,NA,NA,0,1
2018-48,NA,2018,Yes,4/27/2018,24559,453931,4940512,NA,NA,0,1
2019-1,Downstream of Battle Creek,2019,Yes,4/23/2019,8230,447716,4940513,NA,NA,0,1
2019-2,NA,2019,Yes,4/23/2019,13037,449613,4940460,NA,NA,0,1
2019-3,NA,2019,Yes,4/23/2019,17513,451658,4940280,NA,NA,0,1
2019-4,NA,2019,Yes,4/23/2019,22252,453318,4940942,NA,NA,0,1
2019-5,NA,2019,Yes,4/23/2019,23532,453789,4941007,NA,NA,0,1
2019-6,NA,2019,Yes,4/23/2019,24504,453994,4940557,NA,NA,0,1
2019-7,NA,2019,Yes,4/23/2019,24546,453922,4940513,NA,NA,0,1
